px,py,pz,alvox,alvoy,alvoz,choque0,choque1,choque2,choque3,choque4,choque5,acao0,acao1,acao2,acao3,acao4,acao5
0,1,40,46,15,49,0,0,0,0,1,0,0,0,1,0,0,0
0,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
1,2,40,46,15,49,0,0,0,1,0,0,0,0,0,0,1,0
2,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
3,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
4,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
5,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
6,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
7,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
8,2,40,46,15,49,1,0,0,0,0,0,0,0,0,0,1,0
9,2,40,46,15,49,0,0,1,0,0,0,0,0,0,0,1,0
10,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
11,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
12,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
13,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
14,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
15,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
16,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
17,2,40,46,15,49,0,1,0,0,0,0,0,0,0,0,1,0
18,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
19,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
20,2,40,46,15,49,0,1,0,0,0,0,0,0,0,0,1,0
21,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
22,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
23,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
24,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
25,2,40,46,15,49,0,1,0,0,0,0,0,0,0,0,1,0
26,2,40,46,15,49,1,0,0,0,0,0,0,0,0,0,1,0
27,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
28,2,40,46,15,49,0,0,0,1,0,0,0,0,0,0,1,0
29,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
30,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
31,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
32,2,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
33,2,40,46,15,49,0,0,0,0,0,0,0,0,1,0,0,0
33,3,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
34,3,40,46,15,49,0,0,0,0,0,0,0,0,1,0,0,0
34,4,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
35,4,40,46,15,49,0,0,0,0,0,0,0,0,1,0,0,0
35,5,40,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
36,5,40,46,15,49,0,0,0,0,0,0,0,0,1,0,0,0
36,6,40,46,15,49,0,0,0,0,1,0,1,0,0,0,0,0
36,6,41,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
37,6,41,46,15,49,0,1,0,0,0,0,0,0,1,0,0,0
37,7,41,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
38,7,41,46,15,49,0,0,0,0,0,0,1,0,0,0,0,0
38,7,42,46,15,49,0,0,0,0,0,0,0,0,1,0,0,0
38,8,42,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
39,8,42,46,15,49,0,0,1,0,0,0,1,0,0,0,0,0
39,8,43,46,15,49,0,0,0,0,0,0,0,0,1,0,0,0
39,9,43,46,15,49,0,1,0,0,0,0,0,0,0,0,1,0
40,9,43,46,15,49,0,0,0,0,0,0,1,0,0,0,0,0
40,9,44,46,15,49,0,0,0,0,0,0,0,0,1,0,0,0
40,10,44,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
41,10,44,46,15,49,0,0,0,0,0,0,1,0,0,0,0,0
41,10,45,46,15,49,0,0,0,0,0,0,0,0,1,0,0,0
41,11,45,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
42,11,45,46,15,49,0,0,0,0,0,0,1,0,0,0,0,0
42,11,46,46,15,49,0,0,0,0,0,0,0,0,1,0,0,0
42,12,46,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
43,12,46,46,15,49,0,0,1,0,0,0,1,0,0,0,0,0
43,12,47,46,15,49,0,0,0,0,0,0,0,0,1,0,0,0
43,13,47,46,15,49,0,1,0,0,0,0,0,0,0,0,1,0
44,13,47,46,15,49,0,0,0,0,0,0,1,0,0,0,0,0
44,13,48,46,15,49,0,0,0,0,0,0,0,0,1,0,0,0
44,14,48,46,15,49,0,0,0,0,0,0,0,0,0,0,1,0
45,14,48,46,15,49,0,0,1,0,0,0,1,0,0,0,0,0
45,14,49,46,15,49,0,0,0,0,0,0,0,0,1,0,0,0
45,15,49,46,15,49,0,1,1,0,0,0,0,0,0,0,1,0
52,36,44,11,30,55,1,0,0,0,0,0,0,0,0,0,0,1
51,36,44,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
50,36,44,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
49,36,44,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
48,36,44,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
47,36,44,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
46,36,44,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
45,36,44,11,30,55,0,0,0,0,0,1,1,0,0,0,0,0
45,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
44,36,45,11,30,55,0,1,0,0,0,0,0,0,0,0,0,1
43,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
42,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
41,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
40,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
39,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
38,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
37,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
36,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
35,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
34,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
33,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
32,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
31,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
30,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
29,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
28,36,45,11,30,55,0,0,0,1,0,0,0,0,0,0,0,1
27,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
26,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
25,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
24,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
23,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
22,36,45,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
21,36,45,11,30,55,0,0,0,0,0,0,1,0,0,0,0,0
21,36,46,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
20,36,46,11,30,55,0,0,0,0,0,0,1,0,0,0,0,0
20,36,47,11,30,55,0,0,0,0,0,1,1,0,0,0,0,0
20,36,48,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
19,36,48,11,30,55,0,1,0,0,0,0,0,0,0,0,0,1
18,36,48,11,30,55,0,0,0,0,0,0,1,0,0,0,0,0
18,36,49,11,30,55,0,0,0,1,0,0,0,0,0,0,0,1
17,36,49,11,30,55,0,0,0,0,0,0,1,0,0,0,0,0
17,36,50,11,30,55,0,0,0,0,0,0,0,0,0,1,0,0
17,35,50,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
16,35,50,11,30,55,0,0,0,0,0,0,1,0,0,0,0,0
16,35,51,11,30,55,0,0,0,0,0,0,0,0,0,1,0,0
16,34,51,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
15,34,51,11,30,55,0,1,0,0,0,0,1,0,0,0,0,0
15,34,52,11,30,55,0,0,0,0,0,0,0,0,0,1,0,0
15,33,52,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
14,33,52,11,30,55,0,0,0,0,0,0,1,0,0,0,0,0
14,33,53,11,30,55,0,0,0,0,0,0,0,0,0,1,0,0
14,32,53,11,30,55,1,0,0,0,0,0,0,0,0,0,0,1
13,32,53,11,30,55,0,0,0,0,0,0,1,0,0,0,0,0
13,32,54,11,30,55,0,0,0,0,1,0,0,0,0,1,0,0
13,31,54,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
12,31,54,11,30,55,0,0,0,0,0,0,1,0,0,0,0,0
12,31,55,11,30,55,0,0,0,0,0,0,0,0,0,1,0,0
12,30,55,11,30,55,0,0,0,0,0,0,0,0,0,0,0,1
17,16,50,4,20,41,0,0,0,0,0,0,0,0,0,0,0,1
16,16,50,4,20,41,0,0,1,0,0,0,0,0,0,0,0,1
15,16,50,4,20,41,0,0,1,0,0,1,0,1,0,0,0,0
15,16,49,4,20,41,0,0,0,0,0,0,0,0,0,0,0,1
14,16,49,4,20,41,1,0,0,0,0,0,0,0,0,0,0,1
13,16,49,4,20,41,0,0,0,0,0,0,0,0,0,0,0,1
12,16,49,4,20,41,0,0,1,0,0,0,0,1,0,0,0,0
12,16,48,4,20,41,0,0,0,0,0,0,0,0,0,0,0,1
11,16,48,4,20,41,0,0,0,1,0,0,0,1,0,0,0,0
11,16,47,4,20,41,0,0,0,0,0,0,0,0,0,0,0,1
10,16,47,4,20,41,0,0,0,0,0,0,0,1,0,0,0,0
10,16,46,4,20,41,0,0,0,0,0,0,0,0,0,0,0,1
9,16,46,4,20,41,0,0,0,0,0,0,0,1,0,0,0,0
9,16,45,4,20,41,0,0,0,0,0,0,0,0,0,0,0,1
8,16,45,4,20,41,0,0,0,0,0,0,0,1,0,0,0,0
8,16,44,4,20,41,0,0,0,0,0,0,0,0,1,0,0,0
8,17,44,4,20,41,0,0,0,0,0,0,0,0,0,0,0,1
